번호,종목코드,종목명,시장구분,사업연도,결산월,업종,업종별 배당률,주식배당,현금배당_액면가,현금배당_주당배당금,현금배당_시가배당률,현금배당_배당성향,현금배당_기말주식수,현금배당_총배당금액
131,155660,DSR,KOSPI,"2,022",12,금속,4.05,-,500,60,1,3.911,"16,000,000","960,000,000"
132,155660,DSR,KOSPI,"2,023",12,금속,2.37,-,500,60,1.4,5.47,"16,000,000","960,000,000"
133,069730,DSR제강,KOSPI,"2,024",12,금속,2.46,-,500,100,2.7,-5.089,"14,400,000","1,440,000,000"
134,069730,DSR제강,KOSPI,"2,022",12,금속,4.05,-,500,60,1.2,2.987,"14,400,000","864,000,000"
135,069730,DSR제강,KOSPI,"2,023",12,금속,2.37,-,500,60,1.4,6.675,"14,400,000","864,000,000"
136,017860,DS단석,KOSPI,"2,024",12,화학,1.64,-,500,-,-,-,"17,584,212",-
137,017860,DS단석,KOSPI,"2,023",12,화학,2.11,-,500,-,-,-,"5,861,404",-
138,017860,DS단석,KOSPI,"2,022",12,-,-,-,-,-,-,-,-,-
139,180400,DXVX,KOSDAQ,"2,023",12,일반서비스,0.56,-,500,-,-,-,"30,219,432",-
140,180400,DXVX,KOSDAQ,"2,024",12,일반서비스,0.48,-,500,-,-,-,"49,219,432",-
141,180400,DXVX,KOSDAQ,"2,022",12,일반서비스,1.01,-,500,-,-,-,"28,692,885",-
142,092780,DYP,KOSPI,"2,024",12,운송장비·부품,2.7,-,500,80,1.7,11.616,"13,168,460","1,009,674,560"
143,092780,DYP,KOSPI,"2,023",12,운송장비·부품,2.09,-,500,100,2,16.152,"13,168,460","1,262,093,200"
144,092780,DYP,KOSPI,"2,022",12,운송장비·부품,2.26,-,500,60,1.3,27.463,"13,168,460","790,107,600"
145,017940,E1,KOSPI,"2,024",12,유통,2.73,-,"5,000","3,450",5.3,30.408,"6,860,000","19,947,040,950"
146,017940,E1,KOSPI,"2,023",12,유통,2.13,-,"5,000","5,150",7.7,13.889,"6,860,000","29,776,017,650"
147,017940,E1,KOSPI,"2,022",12,유통,2.79,-,"5,000","3,600",7.6,14.713,"6,860,000","20,814,303,600"
148,418620,E8,KOSDAQ,"2,023",12,-,-,-,-,-,-,-,-,-
149,418620,E8,KOSDAQ,"2,022",12,-,-,-,-,-,-,-,-,-
150,418620,E8,KOSDAQ,"2,024",12,IT 서비스,0.72,-,500,-,-,-,"9,650,477",-
151,245620,EDGC,KOSDAQ,"2,022",12,일반서비스,1.01,-,100,-,-,-,"84,075,931",-
152,245620,EDGC,KOSDAQ,"2,023",12,일반서비스,0.56,-,100,-,-,-,"117,129,481",-
153,245620,EDGC,KOSDAQ,"2,024",12,일반서비스,0.48,-,100,-,-,-,"138,493,951",-
154,037370,EG,KOSDAQ,"2,023",12,화학,0.48,-,"1,000",-,-,-,"8,624,972",-
155,037370,EG,KOSDAQ,"2,024",12,화학,0.6,-,"1,000",-,-,-,"8,624,972",-
156,037370,EG,KOSDAQ,"2,022",12,건설,1.91,-,"1,000",-,-,-,"8,624,972",-
157,278990,EMB,KONEX,"2,022",12,-,-,-,500,-,-,-,"3,628,222",-
158,278990,EMB,KONEX,"2,024",12,-,-,-,500,-,-,-,"4,801,581",-
159,278990,EMB,KONEX,"2,023",12,-,-,-,500,-,-,-,"4,729,954",-
160,050120,ES큐브,KOSDAQ,"2,022",12,유통,0.81,-,"5,000",-,-,-,"13,564,086",-
161,050120,ES큐브,KOSDAQ,"2,023",12,유통,0.63,-,"5,000",-,-,-,"13,564,086",-
162,050120,ES큐브,KOSDAQ,"2,024",12,유통,0.93,-,"5,000",-,-,-,"13,564,086",-
163,383220,F&F,KOSPI,"2,023",12,섬유·의류,2.34,-,100,"1,700",1.93,15.256,"38,307,075","64,842,659,700"
164,383220,F&F,KOSPI,"2,024",12,섬유·의류,2.68,-,100,"1,700",3.1,17.949,"38,307,075","63,892,924,100"
165,383220,F&F,KOSPI,"2,022",12,섬유·의류,1.3,-,100,"1,600",1.13,13.787,"38,307,075","61,028,385,600"
166,007700,F&F 홀딩스,KOSPI,"2,022",12,기타금융,-,-,500,350,1.1,3.275,"39,114,367","13,674,462,550"
167,007700,F&F 홀딩스,KOSPI,"2,024",12,기타금융,-,-,500,450,3.7,5.46,"39,114,367","17,581,451,850"
168,007700,F&F 홀딩스,KOSPI,"2,023",12,기타금융,-,-,500,400,2.5,3.97,"39,114,367","15,627,957,200"
169,214270,FSN,KOSDAQ,"2,024",12,IT 서비스,0.72,-,500,-,-,-,"33,250,463",-
170,214270,FSN,KOSDAQ,"2,023",12,출판·매체복제,0.74,-,500,-,-,-,"33,250,463",-
171,214270,FSN,KOSDAQ,"2,022",12,출판·매체복제,0.4,-,500,-,-,-,"31,678,136",-
172,130500,GH신소재,KOSDAQ,"2,023",12,섬유·의류,1.98,-,500,-,-,-,"14,545,052",-
173,130500,GH신소재,KOSDAQ,"2,024",12,섬유·의류,1.74,-,500,-,-,-,"14,545,052",-
174,130500,GH신소재,KOSDAQ,"2,022",12,섬유·의류,2.16,-,500,-,-,-,"14,545,052",-
175,114090,GKL,KOSPI,"2,024",12,오락·문화,-,-,500,282,2.4,52.763,"61,855,670","17,443,298,940"
176,114090,GKL,KOSPI,"2,023",12,일반서비스,0.87,-,500,353,2.6,49.797,"61,855,670","21,835,051,510"
177,114090,GKL,KOSPI,"2,022",12,일반서비스,0.78,-,500,-,-,-,"61,855,670",-
178,900290,GRT,KOSDAQ,"2,022",6,금융,1.99,-,무액면,-,-,-,"67,375,000",-
179,900290,GRT,KOSDAQ,"2,023",6,금융,0.38,-,무액면,-,-,-,"67,375,000",-
180,900290,GRT,KOSDAQ,"2,024",6,금융,0.46,0.2,무액면,-,-,-,"67,375,000",-
181,078930,GS,KOSPI,"2,023",12,기타금융,-,-,"5,000","2,500",5.9,14.998,"92,915,378","236,776,911,300"
182,078930,GS,KOSPI,"2,022",12,기타금융,-,-,"5,000","2,500",5.4,9.537,"92,915,378","236,776,911,300"
183,078930,GS,KOSPI,"2,024",12,기타금융,-,-,"5,000","2,700",7,29.613,"92,915,378","255,711,945,500"
184,083450,GST,KOSDAQ,"2,022",12,반도체,0.96,-,500,300,1.5,5.674,"9,317,745","2,700,754,500"
185,083450,GST,KOSDAQ,"2,024",12,기계·장비,0.68,-,500,300,1.85,11.685,"18,618,260","5,359,180,500"
186,083450,GST,KOSDAQ,"2,023",12,반도체,0.59,-,500,500,1.85,12.2,"9,317,745","4,506,257,500"
187,006360,GS건설,KOSPI,"2,022",12,건설,3.18,-,"5,000","1,300",5.7,25.012,"85,581,490","110,355,563,500"
188,006360,GS건설,KOSPI,"2,024",12,건설,2.23,-,"5,000",300,1.6,9.649,"85,581,490","25,466,668,500"
189,006360,GS건설,KOSPI,"2,023",12,건설,2.89,-,"5,000",-,-,-,"85,581,490",-
