번호,종목코드,종목명,시장구분,사업연도,결산월,업종,업종별 배당률,주식배당,현금배당_액면가,현금배당_주당배당금,현금배당_시가배당률,현금배당_배당성향,현금배당_기말주식수,현금배당_총배당금액
"2594","045100","한양이엔지","KOSDAQ","2024","12","일반서비스","0.48",,"500","650","3.8","14.12","18000000","10788688300"
"2595","001750","한양증권","KOSPI","2024","12","증권","3.56",,"5000",,,,"12728534",
"2596","018880","한온시스템","KOSPI","2024","12","기계·장비","1.55",,"100",,,,"533800000",
"2597","009420","한올바이오파마","KOSPI","2024","12","제약","0.21",,"500",,,,"52240638",
"2598","320000","한울반도체","KOSDAQ","2024","12","기계·장비","0.68",,"100",,,,"27965627",
"2599","091440","한울소재과학","KOSDAQ","2024","12","전기·전자","0.51",,"500",,,,"14606671",
"2600","276730","한울앤제주","KOSDAQ","2024","12","음식료·담배","1.95",,"500",,,,"15677356",
"2601","014130","한익스프레스","KOSPI","2024","12","운송·창고","2.53",,"500","100","2.97","6.877","12000000","1180000000"
"2602","024740","한일단조","KOSDAQ","2024","12","운송장비·부품","1.48",,"500",,,,"32897049",
"2603","005860","한일사료","KOSDAQ","2024","12","음식료·담배","1.95",,"500","50","1.4","53.727","39403685","1970184250"
"2604","300720","한일시멘트","KOSPI","2024","12","비금속","4.47",,"500","1000","6.1","34.802","69261540","69261540000"
"2605","002220","한일철강","KOSPI","2024","12","금속","2.46",,"500","10","0.5","-5.283","26697460","243537400"
"2606","006390","한일현대시멘트","KOSPI","2024","12","비금속","4.47",,"5000","900","6.3","28.97","19327672","17394904800"
"2607","003300","한일홀딩스","KOSPI","2024","12","비금속","4.47",,"1000","930","6","14.444","30832884","28673242920"
"2608","007770","한일화학","KOSDAQ","2024","12","화학","0.6",,"500","50","0.4","4.245","3510000","175500000"
"2609","051600","한전KPS","KOSPI","2024","12","건설","2.23",,"200","2469","5.2","64.431","45000000","111105000000"
"2610","052690","한전기술","KOSPI","2024","12","일반서비스","1.84",,"200","999","1.82","64.953","38220000","38005461495"
"2611","130660","한전산업","KOSPI","2024","12","일반서비스","1.84",,"500","367","3.77","102.9","32600000","11964200000"
"2612","198940","한주라이트메탈","KOSDAQ","2024","12","금속","1.34",,"500",,,,"38922978",
"2613","058450","한주에이알티","KOSDAQ","2024","12","화학","0.6",,"500",,,,"14793621",
"2614","107640","한중엔시에스","KOSDAQ","2024","12","전기·전자","0.51",,"500",,,,"9048946",
"2615","002320","한진","KOSPI","2024","12","운송·창고","2.53",,"5000","600","3.1","-2378.503","14947628","8681536200"
"2616","003480","한진중공업홀딩스","KOSPI","2024","12","전기·가스","0.35",,"5000","120","3.33","4.694","29529812","2856138860"
"2617","180640","한진칼","KOSPI","2024","12","기타금융",,,"2500","360","0.5","4.702","66762279","24080170025"
"2618","005110","한창","KOSPI","2024","12","유통","2.73",,"500",,,,"18606407",
"2619","079170","한창산업","KOSDAQ","2024","12","금속","1.34",,"500","220","3.28","16.687","5200000","1137366340"
"2620","009460","한창제지","KOSPI","2024","12","종이·목재","2.88",,"500",,,,"59667486",
"2621","372910","한컴라이프케어","KOSPI","2024","12","의료·정밀기기","0.49",,"200",,,,"27674406",
"2622","054920","한컴위드","KOSDAQ","2024","12","IT 서비스","0.72",,"500",,,,"28217081",
"2623","457370","한켐","KOSDAQ","2024","12","화학","0.6",,"500",,,,"8027134",
"2624","002680","한탑","KOSDAQ","2024","12","음식료·담배","1.95",,"500",,,,"32316799",
"2625","098070","한텍","KOSDAQ","2024","12","-",,,,"450","4.17","15.094",,"3970147140"
"2626","000880","한화","KOSPI","2024","12","화학","1.64",,"5000","800","2.9","4.269","74958735","72163338500"
"2627","452260","한화갤러리아","KOSPI","2024","12","유통","2.73",,"500",,,,"193859610",
"2628","489790","한화비전","KOSPI","2024","12","기타금융",,,"500",,,,"50488390",
"2629","088350","한화생명","KOSPI","2024","12","보험","3.95",,"5000",,,,"868530000",
"2630","000370","한화손해보험","KOSPI","2024","12","보험","3.95",,"5000",,,,"116738915",
"2631","009830","한화솔루션","KOSPI","2024","12","화학","1.64",,"5000","300","1.9","-3.776","171892536","51695099300"
"2632","272210","한화시스템","KOSPI","2024","12","전기·전자","1.59",,"5000","350","1.6","14.695","188919389","65447641350"
"2633","012450","한화에어로스페이스","KOSPI","2024","12","운송장비·부품","2.7",,"5000","3500","1.1","6.265","45581161","159132918000"
"2634","082740","한화엔진","KOSPI","2024","12","기계·장비","1.55",,"1000",,,,"83447142",
"2635","042660","한화오션","KOSPI","2024","12","운송장비·부품","2.7",,"5000",,,,"306413394",
"2636","003530","한화투자증권","KOSPI","2024","12","증권","3.56",,"5000",,,,"214547775",
"2637","455310","한화플러스제4호스팩","KOSDAQ","2024","12","금융","0.71",,"100",,,,"5060000",
"2638","498390","한화플러스제5호스팩","KOSDAQ","2024","12","-",,,,,,,,
"2639","195870","해성디에스","KOSPI","2024","12","전기·전자","1.59",,"5000","800","3.4","23.17","17000000","13600000000"
"2640","034810","해성산업","KOSDAQ","2024","12","금융","0.71",,"500","225","3.9","-205.243","32556857","6984419190"
"2641","059270","해성에어로보틱스","KOSDAQ","2024","12","금속","1.34",,"500",,,,"11140799",
"2642","076610","해성옵틱스","KOSDAQ","2024","12","의료·정밀기기","0.46",,"500",,,,"25453198",
"2643","101530","해태제과식품","KOSPI","2024","12","음식료·담배","2.63",,"500","250","4","20.821","29116822","6629415500"
"2644","220180","핸디소프트","KOSDAQ","2024","12","IT 서비스","0.72",,"500",,,,"19408000",
"2645","143210","핸즈코퍼레이션","KOSPI","2024","12","운송장비·부품","2.7",,"500",,,"-0.053","21875747","65200000"
"2646","900270","헝셩그룹","KOSDAQ","2024","12","금융","0.71",,"무액면",,,,"152282336",
"2647","214180","헥토이노베이션","KOSDAQ","2024","12","IT 서비스","0.72",,"500","490","3.9","17.44","13257185","6064601620"
"2648","234340","헥토파이낸셜","KOSDAQ","2024","12","IT 서비스","0.72",,"500","350","2.4","32.41","9453000","2908483900"
"2649","084990","헬릭스미스","KOSDAQ","2024","12","일반서비스","0.48",,"500",,,,"46092797",
"2650","187660","현대ADM","KOSDAQ","2024","12","일반서비스","0.48",,"100",,,,"42989179",
"2651","000720","현대건설","KOSPI","2024","12","건설","2.23",,"5000","600","1.7","-8.809","111355765","67499009450"
"2652","170030","현대공업","KOSDAQ","2024","12","운송장비·부품","1.48",,"500","200","3.95","23.204","15340000","2988935600"
"2653","453340","현대그린푸드","KOSPI","2024","12","유통","2.73",,"500","335","2.4","14.893","33880914","11090245685"
"2654","086280","현대글로비스","KOSPI","2024","12","운송·창고","2.53",,"500","3700","2.6","25.239","75000000","277500000000"
"2655","064350","현대로템","KOSPI","2024","12","운송장비·부품","2.7",,"5000","200","0.3","5.386","109142293","21828458600"
"2656","079430","현대리바트","KOSPI","2024","12","기타제조",,,"1000","130","1.7","17.227","20535282","2614846260"
"2657","012330","현대모비스","KOSPI","2024","12","운송장비·부품","2.7",,"5000","6000","2.4","13.361","92995094","542485885700"
"2658","319400","현대무벡스","KOSDAQ","2024","12","기계·장비","0.68",,"100","50","1.5","21.233","117741058","5715349400"
"2659","048410","현대바이오","KOSDAQ","2024","12","화학","0.6",,"500",,,,"39821608",
"2660","052260","현대바이오랜드","KOSDAQ","2024","12","화학","0.6",,"500","70","1.7","36.823","30000000","2100000000"
"2661","069960","현대백화점","KOSPI","2024","12","유통","2.73",,"5000","1400","2.7","-4057.992","22628813","30597260400"
"2662","004560","현대비앤지스틸","KOSPI","2024","12","금속","2.46",,"5000","100","0.8","6.105","15078811","1524358900"
"2663","016790","현대사료","KOSDAQ","2024","12","음식료·담배","1.95",,"100",,,,"188471729",
"2664","004310","현대약품","KOSPI","2024","11","제약","0.21",,"500","30","0.87","-136.36","32000000","784070940"
